name,description,price,photo_url,type
"MALM High bed frame/2 storage boxes, Twin","High bed frame/2 storage boxes,",249,https://www.ikea.com/us/en/images/products/malm-high-bed-frame-2-storage-boxes-white__1154404_pe886051_s5.jpg?f=xxs, Bed
"GLADSTAD Upholstered bed, 4 storage boxes , Queen","Upholstered bed, 4 storage boxes ,",399,https://www.ikea.com/us/en/images/products/gladstad-upholstered-bed-4-storage-boxes-kabusa-light-gray__1116349_pe872495_s5.jpg?f=xxs, Bed
"HEMNES Daybed frame with 3 drawers, Twin","Daybed frame with 3 drawers,",399,https://www.ikea.com/us/en/images/products/hemnes-daybed-frame-with-3-drawers-white__1180454_pe896328_s5.jpg?f=xxs, Bed
"HEMNES Bed frame with 2 storage boxes, Full","Bed frame with 2 storage boxes,",429,https://www.ikea.com/us/en/images/products/hemnes-bed-frame-with-2-storage-boxes-white-stain-luroey__1154514_pe886090_s5.jpg?f=xxs, Bed
"NORDLI Bed frame with storage, Queen","Bed frame with storage,",499,https://www.ikea.com/us/en/images/products/nordli-bed-frame-with-storage-anthracite__1151029_pe884733_s5.jpg?f=xxs, Bed
"HEMNES Bed frame with 4 storage boxes, Queen","Bed frame with 4 storage boxes,",619,https://www.ikea.com/us/en/images/products/hemnes-bed-frame-with-4-storage-boxes-white-stain-loenset__1154513_pe886108_s5.jpg?f=xxs, Bed
"SLaKT Bed frame w/pull-out bed + storage, Twin","Bed frame w/pull-out bed + storage,",349,https://www.ikea.com/us/en/images/products/slaekt-bed-frame-w-pull-out-bed-storage-white__0637775_pe698535_s5.jpg?f=xxs, Bed
"HAUGA Upholstered bed, 2 storage boxes , Queen","Upholstered bed, 2 storage boxes ,",499,https://www.ikea.com/us/en/images/products/hauga-upholstered-bed-2-storage-boxes-lofallet-beige__1151055_pe884717_s5.jpg?f=xxs, Bed
"NaMMARa 4-seat conversation set, outdoor","4-seat conversation set, outdoor",700,https://www.ikea.com/us/en/images/products/naemmaroe-4-seat-conversation-set-outdoor-light-brown-stained-froesoen-duvholmen-beige__1174533_pe894523_s5.jpg?f=xxs, outdoor
"SKARPa Armchair, outdoor","Armchair, outdoor",79,https://www.ikea.com/us/en/images/products/skarpoe-armchair-outdoor-white__0729491_pe737010_s5.jpg?f=xxs, outdoor
"NaMMARa Modular corner sofa, 3-seat","Modular corner sofa, 3-seat",720,https://www.ikea.com/us/en/images/products/naemmaroe-modular-corner-sofa-3-seat-outdoor-light-brown-stained-froesoen-duvholmen-beige__1213447_pe911141_s5.jpg?f=xxs, outdoor
"NaMMARa 3-seat modular sofa, outdoor","3-seat modular sofa, outdoor",515,https://www.ikea.com/us/en/images/products/naemmaroe-3-seat-modular-sofa-outdoor-armrests-light-brown-stained-froesoen-duvholmen-beige__1213451_pe911143_s5.jpg?f=xxs, outdoor
"BONDHOLMEN Armchair, outdoor","Armchair, outdoor",240,https://www.ikea.com/us/en/images/products/bondholmen-armchair-outdoor-brown-froesoen-duvholmen-dark-gray__1247771_pe922785_s5.jpg?f=xxs, outdoor
REVSKaR 3-seat conversation set,3-seat conversation set,655,https://www.ikea.com/us/en/images/products/revskaer-3-seat-conversation-set-outdoor-anthracite-froesoen-duvholmen-dark-gray__1240171_pe919187_s5.jpg?f=xxs, outdoor
"NaMMARa Lounge chair, outdoor","Lounge chair, outdoor",95,https://www.ikea.com/us/en/images/products/naemmaroe-lounge-chair-outdoor-light-brown-stained__1138755_pe880055_s5.jpg?f=xxs, outdoor
"BONDHOLMEN Loveseat, outdoor","Loveseat, outdoor",420,https://www.ikea.com/us/en/images/products/bondholmen-loveseat-outdoor-brown-froesoen-duvholmen-dark-gray__1247781_pe922788_s5.jpg?f=xxs, outdoor
"NaMMARa Chair, outdoor","Chair, outdoor",155,https://www.ikea.com/us/en/images/products/naemmaroe-chair-outdoor-light-brown-stained-froesoen-duvholmen-beige__1207768_pe908166_s5.jpg?f=xxs, outdoor
"JOLPEN Loveseat, outdoor, 39 3/8x23 1/4x26 3/8 ""","Loveseat, outdoor,",89,https://www.ikea.com/us/en/images/products/jolpen-loveseat-outdoor-white-gray__1138956_pe880161_s5.jpg?f=xxs, outdoor
"NaMMARa Reclining chair, outdoor","Reclining chair, outdoor",70,https://www.ikea.com/us/en/images/products/naemmaroe-reclining-chair-outdoor-foldable-light-brown-stained__1138757_pe880057_s5.jpg?f=xxs, outdoor
"NaMMARa 3-seat modular sofa, outdoor","3-seat modular sofa, outdoor",560,https://www.ikea.com/us/en/images/products/naemmaroe-3-seat-modular-sofa-outdoor-with-footstool-light-brown-stained-kuddarna-beige__1202317_pe905878_s5.jpg?f=xxs, outdoor
"NaMMARa Modular corner sofa, 3-seat","Modular corner sofa, 3-seat",720,https://www.ikea.com/us/en/images/products/naemmaroe-modular-corner-sofa-3-seat-outdoor-light-brown-stained-froesoen-duvholmen-beige__1213447_pe911141_s5.jpg?f=xxs, outdoor
"NaMMARa 3-seat modular sofa, outdoor","3-seat modular sofa, outdoor",515,https://www.ikea.com/us/en/images/products/naemmaroe-3-seat-modular-sofa-outdoor-armrests-light-brown-stained-froesoen-duvholmen-beige__1213451_pe911143_s5.jpg?f=xxs, outdoor
"NaMMARa 3-seat modular sofa, outdoor","3-seat modular sofa, outdoor",560,https://www.ikea.com/us/en/images/products/naemmaroe-3-seat-modular-sofa-outdoor-with-footstool-light-brown-stained-kuddarna-beige__1202317_pe905878_s5.jpg?f=xxs, outdoor
"BONDHOLMEN Loveseat, outdoor","Loveseat, outdoor",420,https://www.ikea.com/us/en/images/products/bondholmen-loveseat-outdoor-brown-froesoen-duvholmen-dark-gray__1247781_pe922788_s5.jpg?f=xxs, outdoor
"NaMMARa 2-seat modular sofa, outdoor","2-seat modular sofa, outdoor",310,https://www.ikea.com/us/en/images/products/naemmaroe-2-seat-modular-sofa-outdoor-armrests-light-brown-stained-kuddarna-beige__1147799_pe883475_s5.jpg?f=xxs, outdoor
"HaGSTEN Loveseat, outdoor","Loveseat, outdoor",269,https://www.ikea.com/us/en/images/products/hoegsten-loveseat-outdoor-white__1028707_pe835497_s5.jpg?f=xxs, outdoor
"SEGERaN Sectional, 3-seat corner","Sectional, 3-seat corner",890,https://www.ikea.com/us/en/images/products/segeroen-sectional-3-seat-corner-outdoor-white-beige-froesoen-duvholmen-beige__1165550_pe890898_s5.jpg?f=xxs, outdoor
"HAVSTEN Loveseat, outdoor","Loveseat, outdoor",730,https://www.ikea.com/us/en/images/products/havsten-loveseat-outdoor-beige-beige__0729049_pe736632_s5.jpg?f=xxs, outdoor
"BONDHOLMEN Loveseat, outdoor, 54 3/4x31 7/8x28 3/4 ""","Loveseat, outdoor,",280,https://www.ikea.com/us/en/images/products/bondholmen-loveseat-outdoor-brown__1285175_pe933244_s5.jpg?f=xxs, outdoor
"JUTHOLMEN Modular corner sofa 3-seat, outdoor","Modular corner sofa 3-seat, outdoor",540,https://www.ikea.com/us/en/images/products/jutholmen-modular-corner-sofa-3-seat-outdoor-dark-gray-kuddarna-beige__0933028_pe791718_s5.jpg?f=xxs, outdoor
"SEGERaN Loveseat, outdoor","Loveseat, outdoor",500,https://www.ikea.com/us/en/images/products/segeroen-loveseat-outdoor-white-beige-froesoen-duvholmen-beige__1193063_pe901327_s5.jpg?f=xxs, outdoor
"JUTHOLMEN 2-seat modular sofa, outdoor, 57 1/2x28 3/4 ""","2-seat modular sofa, outdoor,",290,https://www.ikea.com/us/en/images/products/jutholmen-2-seat-modular-sofa-outdoor-dark-gray-kuddarna-beige__0835239_pe778358_s5.jpg?f=xxs, outdoor
"SEGERaN Loveseat, outdoor","Loveseat, outdoor",380,https://www.ikea.com/us/en/images/products/segeroen-loveseat-outdoor-white-beige-froesoen-duvholmen-beige__1199225_pe904415_s5.jpg?f=xxs, outdoor
"JUTHOLMEN 3-seat modular sofa, outdoor","3-seat modular sofa, outdoor",415,https://www.ikea.com/us/en/images/products/jutholmen-3-seat-modular-sofa-outdoor-dark-gray-kuddarna-beige__0835243_pe778361_s5.jpg?f=xxs, outdoor
"NaMMARa Modular corner sofa, 3-seat","Modular corner sofa, 3-seat",600,https://www.ikea.com/us/en/images/products/naemmaroe-modular-corner-sofa-3-seat-outdoor-light-brown-stained-kuddarna-beige__1202316_pe905879_s5.jpg?f=xxs, outdoor
"NaMMARa 3-seat modular sofa, outdoor","3-seat modular sofa, outdoor",390,https://www.ikea.com/us/en/images/products/naemmaroe-3-seat-modular-sofa-outdoor-light-brown-stained-kuddarna-beige__1147794_pe883470_s5.jpg?f=xxs, outdoor
"NaMMARa 3-seat modular sofa, outdoor","3-seat modular sofa, outdoor",440,https://www.ikea.com/us/en/images/products/naemmaroe-3-seat-modular-sofa-outdoor-armrests-light-brown-stained-kuddarna-beige__1147791_pe883467_s5.jpg?f=xxs, outdoor
"BONDHOLMEN Loveseat, outdoor","Loveseat, outdoor",460,https://www.ikea.com/us/en/images/products/bondholmen-loveseat-outdoor-brown-jaerpoen-duvholmen-anthracite__1247763_pe922782_s5.jpg?f=xxs, outdoor
"NaMMARa 2-seat modular sofa, outdoor","2-seat modular sofa, outdoor",260,https://www.ikea.com/us/en/images/products/naemmaroe-2-seat-modular-sofa-outdoor-light-brown-stained-kuddarna-beige__1147789_pe883465_s5.jpg?f=xxs, outdoor
"SEGERaN Sectional, 3-seat corner","Sectional, 3-seat corner",980,https://www.ikea.com/us/en/images/products/segeroen-sectional-3-seat-corner-outdoor-white-beige-jaerpoen-duvholmen-white__1213453_pe911145_s5.jpg?f=xxs, outdoor
"NaMMARa Chair, outdoor","Chair, outdoor",85,https://www.ikea.com/us/en/images/products/naemmaroe-chair-outdoor-light-brown-stained__1207766_pe908168_s5.jpg?f=xxs, outdoor
REVSKaR 3-seat conversation set,3-seat conversation set,400,https://www.ikea.com/us/en/images/products/revskaer-3-seat-conversation-set-anthracite-outdoor__1236726_pe917723_s5.jpg?f=xxs, outdoor
"JOLPEN Loveseat, outdoor, 39 3/8x23 1/4x26 3/8 ""","Loveseat, outdoor,",89,https://www.ikea.com/us/en/images/products/jolpen-loveseat-outdoor-white-gray__1138956_pe880161_s5.jpg?f=xxs, outdoor
"NaMMARa Seat sec for modular sofa, outdoor","Seat sec for modular sofa, outdoor",60,https://www.ikea.com/us/en/images/products/naemmaroe-seat-sec-for-modular-sofa-outdoor-light-brown-stained__1138748_pe880048_s5.jpg?f=xxs, outdoor
"JUTHOLMEN Corner section, outdoor","Corner section, outdoor",115,https://www.ikea.com/us/en/images/products/jutholmen-corner-section-outdoor-dark-gray-brown__0934845_pe792560_s5.jpg?f=xxs, outdoor
"JUTHOLMEN One-seat section, outdoor","One-seat section, outdoor",95,https://www.ikea.com/us/en/images/products/jutholmen-one-seat-section-outdoor-dark-gray-brown__0934846_pe792562_s5.jpg?f=xxs, outdoor
"SEGERaN One-seat section, outdoor","One-seat section, outdoor",120,https://www.ikea.com/us/en/images/products/segeroen-one-seat-section-outdoor-white-beige__1138770_pe880072_s5.jpg?f=xxs, outdoor
"SEGERaN Corner section, outdoor","Corner section, outdoor",155,https://www.ikea.com/us/en/images/products/segeroen-corner-section-outdoor-white-beige__1138773_pe880075_s5.jpg?f=xxs, outdoor
"HAVSTEN Armchair, outdoor","Armchair, outdoor",280,https://www.ikea.com/us/en/images/products/havsten-armchair-outdoor-beige__1138954_pe880159_s5.jpg?f=xxs, outdoor
"LaCKa Loveseat, outdoor","Loveseat, outdoor",149,https://www.ikea.com/us/en/images/products/laeckoe-loveseat-outdoor-gray__1138955_pe880166_s5.jpg?f=xxs, outdoor
"NaMMARa Backrest for modular sofa, outdoor, 23 5/8x22 1/4 ""","Backrest for modular sofa, outdoor,",25,https://www.ikea.com/us/en/images/products/naemmaroe-backrest-for-modular-sofa-outdoor-light-brown-stained__1138758_pe880058_s5.jpg?f=xxs, outdoor
"HAVSTEN Loveseat, outdoor, 70 1/2x36 1/4x29 7/8 ""","Loveseat, outdoor,",350,https://www.ikea.com/us/en/images/products/havsten-loveseat-outdoor-beige__1138950_pe880155_s5.jpg?f=xxs, outdoor
"SEKTION Base cabinet for sink + 2 doors, 36x24x30 ""","Base cabinet for sink + 2 doors,",156,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-for-sink-2-doors-white-vallstena-white__1172805_pe893464_s5.jpg?f=xxs, Kitchen
"ENHET Base cabinet with 3 drawers, 24x24 3/4x30 ""","Base cabinet with 3 drawers,",208,https://www.ikea.com/us/en/images/products/enhet-base-cabinet-with-3-drawers-white-white-frame__1048155_pe843608_s5.jpg?f=xxs, Kitchen
"KNOXHULT Base cabinet with doors and drawer, 72x24x36 ""","Base cabinet with doors and drawer,",320,https://www.ikea.com/us/en/images/products/knoxhult-base-cabinet-with-doors-and-drawer-white__0630750_pe694878_s5.jpg?f=xxs, Kitchen
"SEKTION High cabinet with shelves/2 doors, 18x15x80 ""","High cabinet with shelves/2 doors,",219,https://www.ikea.com/us/en/images/products/sektion-high-cabinet-with-shelves-2-doors-white-vallstena-white__1172887_pe893711_s5.jpg?f=xxs, Kitchen
"SEKTION Wall cabinet, 15x15x30 ""","Wall cabinet,",79,https://www.ikea.com/us/en/images/products/sektion-wall-cabinet-white-vallstena-white__1173001_pe893682_s5.jpg?f=xxs, Kitchen
"SEKTION Base cabinet f/sink & waste sorting, 24x24x30 ""","Base cabinet f/sink & waste sorting,",327,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-f-sink-waste-sorting-white-maximera-axstad-matt-white__0670882_pe715841_s5.jpg?f=xxs, Kitchen
"KNOXHULT Base cabinet with doors and drawer, 48x24x36 ""","Base cabinet with doors and drawer,",240,https://www.ikea.com/us/en/images/products/knoxhult-base-cabinet-with-doors-and-drawer-white__0630759_pe694887_s5.jpg?f=xxs, Kitchen
"SEKTION Corner base cabinet with carousel, 38x24x30 ""","Corner base cabinet with carousel,",270,https://www.ikea.com/us/en/images/products/sektion-corner-base-cabinet-with-carousel-white-vallstena-white__1173046_pe893689_s5.jpg?f=xxs, Kitchen
"SEKTION Wall cabinet with 2 doors, 30x15x30 ""","Wall cabinet with 2 doors,",141,https://www.ikea.com/us/en/images/products/sektion-wall-cabinet-with-2-doors-white-vallstena-white__1172917_pe893628_s5.jpg?f=xxs, Kitchen
"SEKTION / MAXIMERA Base cabinet with 3 drawers, 24x24x30 ""","Base cabinet with 3 drawers,",251,https://www.ikea.com/us/en/images/products/sektion-maximera-base-cabinet-with-3-drawers-white-vallstena-white__1172715_pe893501_s5.jpg?f=xxs, Kitchen
"SEKTION Base cabinet with shelves/2 doors, 30x24x30 ""","Base cabinet with shelves/2 doors,",154,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-with-shelves-2-doors-white-vallstena-white__1172729_pe893508_s5.jpg?f=xxs, Kitchen
"SEKTION High cabinet with pull-out pantry, 24x24x90 ""","High cabinet with pull-out pantry,",673,https://www.ikea.com/us/en/images/products/sektion-high-cabinet-with-pull-out-pantry-white-vallstena-white__1172946_pe893784_s5.jpg?f=xxs, Kitchen
"SEKTION Base cabinet frame, 24x24x30 ""","Base cabinet frame,",70,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-frame-white__0268620_pe406679_s5.jpg?f=xxs, Kitchen
"SEKTION High cabinet/pull-out int fittings, 15x24x80 ""","High cabinet/pull-out int fittings,",505,https://www.ikea.com/us/en/images/products/sektion-high-cabinet-pull-out-int-fittings-white-axstad-dark-gray__0971405_pe811315_s5.jpg?f=xxs, Kitchen
"SEKTION High cabinet for micro w 4 doors, 30x24x90 ""","High cabinet for micro w 4 doors,",389,https://www.ikea.com/us/en/images/products/sektion-high-cabinet-for-micro-w-4-doors-white-vallstena-white__1173032_pe893667_s5.jpg?f=xxs, Kitchen
"SEKTION / MAXIMERA Base cabinet with 2 drawers, 24x15x30 ""","Base cabinet with 2 drawers,",166,https://www.ikea.com/us/en/images/products/sektion-maximera-base-cabinet-with-2-drawers-white-vallstena-white__1172800_pe893545_s5.jpg?f=xxs, Kitchen
"ENHET Wall cb w 2 shlvs/doors, 24x12 3/4x30 ""","Wall cb w 2 shlvs/doors,",112,https://www.ikea.com/us/en/images/products/enhet-wall-cb-w-2-shlvs-doors-white-white-frame__1048208_pe843645_s5.jpg?f=xxs, Kitchen
"SEKTION Base cabinet f/sink & recycling, 30x24x30 ""","Base cabinet f/sink & recycling,",279,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-f-sink-recycling-white-maximera-bodarp-gray-green__0769873_pe755456_s5.jpg?f=xxs, Kitchen
"SEKTION Wall cabinet with 2 glass doors, 30x15x40 ""","Wall cabinet with 2 glass doors,",253,https://www.ikea.com/us/en/images/products/sektion-wall-cabinet-with-2-glass-doors-white-enkoeping-white-wood-effect__1072980_pe855579_s5.jpg?f=xxs, Kitchen
"SEKTION / MAXIMERA Base cabinet with pull-out storage, 12x24x30 ""","Base cabinet with pull-out storage,",146,https://www.ikea.com/us/en/images/products/sektion-maximera-base-cabinet-with-pull-out-storage-white-vallstena-white__1172750_pe893438_s5.jpg?f=xxs, Kitchen
"SEKTION Base cabinet with wire baskets, 15x24x30 ""","Base cabinet with wire baskets,",149,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-with-wire-baskets-white-vallstena-white__1172714_pe893583_s5.jpg?f=xxs, Kitchen
"SEKTION Base cabinet w 2 doors/2 drawers, 36x15x30 ""","Base cabinet w 2 doors/2 drawers,",252,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-w-2-doors-2-drawers-white-vallstena-white__1172679_pe893483_s5.jpg?f=xxs, Kitchen
"SEKTION / MAXIMERA High cab w door/2 fronts/4 drawers, 24x24x80 ""","High cab w door/2 fronts/4 drawers,",528,https://www.ikea.com/us/en/images/products/sektion-maximera-high-cab-w-door-2-fronts-4-drawers-white-vallstena-white__1172995_pe893680_s5.jpg?f=xxs, Kitchen
"SEKTION / MAXIMERA Base cabinet w 2 doors/3 drawers, 30x15x30 ""","Base cabinet w 2 doors/3 drawers,",430,https://www.ikea.com/us/en/images/products/sektion-maximera-base-cabinet-w-2-doors-3-drawers-white-nickebo-matte-anthracite__1144589_pe881928_s5.jpg?f=xxs, Kitchen
"SEKTION / MAXIMERA Base cabinet with 3 drawers, 24x24x30 ""","Base cabinet with 3 drawers,",251,https://www.ikea.com/us/en/images/products/sektion-maximera-base-cabinet-with-3-drawers-white-vallstena-white__1172715_pe893501_s5.jpg?f=xxs, Kitchen
"SEKTION Base cabinet with shelves/2 doors, 30x24x30 ""","Base cabinet with shelves/2 doors,",154,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-with-shelves-2-doors-white-vallstena-white__1172729_pe893508_s5.jpg?f=xxs, Kitchen
"SEKTION Base cabinet for sink + 2 doors, 36x24x30 ""","Base cabinet for sink + 2 doors,",156,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-for-sink-2-doors-white-vallstena-white__1172805_pe893464_s5.jpg?f=xxs, Kitchen
"SEKTION / MAXIMERA Base cabinet with pull-out storage, 12x24x30 ""","Base cabinet with pull-out storage,",146,https://www.ikea.com/us/en/images/products/sektion-maximera-base-cabinet-with-pull-out-storage-white-vallstena-white__1172750_pe893438_s5.jpg?f=xxs, Kitchen
"SEKTION Base cabinet frame, 24x24x30 ""","Base cabinet frame,",70,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-frame-white__0268620_pe406679_s5.jpg?f=xxs, Kitchen
"SEKTION Base cabinet with 3 drawers, 30x15x30 ""","Base cabinet with 3 drawers,",385,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-with-3-drawers-white-maximera-axstad-matt-white__0670789_pe715783_s5.jpg?f=xxs, Kitchen
"SEKTION Corner base cabinet with carousel, 38x24x30 ""","Corner base cabinet with carousel,",270,https://www.ikea.com/us/en/images/products/sektion-corner-base-cabinet-with-carousel-white-vallstena-white__1173046_pe893689_s5.jpg?f=xxs, Kitchen
"SEKTION / MAXIMERA Base cab with 2 fronts/3 drawers, 24x24x30 ""","Base cab with 2 fronts/3 drawers,",272,https://www.ikea.com/us/en/images/products/sektion-maximera-base-cab-with-2-fronts-3-drawers-white-vallstena-white__1172730_pe893509_s5.jpg?f=xxs, Kitchen
"SEKTION Base cabinet w 2 doors/2 drawers, 36x15x30 ""","Base cabinet w 2 doors/2 drawers,",252,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-w-2-doors-2-drawers-white-vallstena-white__1172679_pe893483_s5.jpg?f=xxs, Kitchen
"SEKTION Base cabinet with shelves , 12x24x30 ""","Base cabinet with shelves ,",82,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-with-shelves-white-vallstena-white__1172746_pe893435_s5.jpg?f=xxs, Kitchen
"SEKTION Base cabinet f/sink & recycling, 30x24x30 ""","Base cabinet f/sink & recycling,",279,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-f-sink-recycling-white-maximera-bodarp-gray-green__0769873_pe755456_s5.jpg?f=xxs, Kitchen
"SEKTION Corner base cab w pull-out fitting, 47x24x30 ""","Corner base cab w pull-out fitting,",343,https://www.ikea.com/us/en/images/products/sektion-corner-base-cab-w-pull-out-fitting-white-enkoeping-white-wood-effect__1072741_pe855438_s5.jpg?f=xxs, Kitchen
"SEKTION / MAXIMERA Base cabinet with 1 door/3 drawers, 21x24x30 ""","Base cabinet with 1 door/3 drawers,",322,https://www.ikea.com/us/en/images/products/sektion-maximera-base-cabinet-with-1-door-3-drawers-white-enkoeping-white-wood-effect__1072835_pe855571_s5.jpg?f=xxs, Kitchen
"SEKTION / MAXIMERA Base cabinet w/3 fronts & 4 drawers, 24x24x30 ""","Base cabinet w/3 fronts & 4 drawers,",399,https://www.ikea.com/us/en/images/products/sektion-maximera-base-cabinet-w-3-fronts-4-drawers-white-bodarp-gray-green__0769959_pe755316_s5.jpg?f=xxs, Kitchen
"SEKTION Base cabinet with wire baskets, 15x24x30 ""","Base cabinet with wire baskets,",149,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-with-wire-baskets-white-vallstena-white__1172714_pe893583_s5.jpg?f=xxs, Kitchen
"SEKTION Base cabinet with drawer/door, 24x24x30 ""","Base cabinet with drawer/door,",180,https://www.ikea.com/us/en/images/products/sektion-base-cabinet-with-drawer-door-white-vallstena-white__1172692_pe893489_s5.jpg?f=xxs, Kitchen
"SEKTION / MAXIMERA Base cabinet with 4 drawers, 15x24x30 ""","Base cabinet with 4 drawers,",211,https://www.ikea.com/us/en/images/products/sektion-maximera-base-cabinet-with-4-drawers-white-vallstena-white__1172764_pe893527_s5.jpg?f=xxs, Kitchen
"SEKTION / MAXIMERA Base cabinet with 2 drawers, 24x15x30 ""","Base cabinet with 2 drawers,",166,https://www.ikea.com/us/en/images/products/sektion-maximera-base-cabinet-with-2-drawers-white-vallstena-white__1172800_pe893545_s5.jpg?f=xxs, Kitchen
"SEKTION / MAXIMERA Base cab f recycling/1 door, 18x24x30 ""","Base cab f recycling/1 door,",180,https://www.ikea.com/us/en/images/products/sektion-maximera-base-cab-f-recycling-1-door-white-vallstena-white__1172794_pe893542_s5.jpg?f=xxs, Kitchen
